issues,status,type,words,titleLen,descLen,h1,url,title,description,canonical
"","200","home","1417","57","118","1","https://www.originfacts.com","Originfacts — The facts behind every place worth visiting","The facts behind every place worth visiting — plus the latest on flights, hotels, airlines, airports and destinations.","https://www.originfacts.com"
"","200","static","1186","31","153","1","https://www.originfacts.com/about","About Originfacts · Originfacts","Originfacts is a travel blog about the facts of origins — the cultures, histories, and stories behind destinations — alongside the latest travel info on…","https://www.originfacts.com/about"
"thin","200","static","267","33","123","1","https://www.originfacts.com/contact","Contact Originfacts · Originfacts","Get in touch about Originfacts — support, privacy, cookies, accessibility, affiliate enquiries, or user content complaints.","https://www.originfacts.com/contact"
"short_description","200","static","769","25","71","1","https://www.originfacts.com/all-articles","All stories · Originfacts","Every travel guide, flight hack, and hotel review we&#x27;ve published.","https://www.originfacts.com/all-articles"
"","200","static","535","86","117","1","https://www.originfacts.com/destinations","Destination Directory — Browse Cities, Countries & Regions | OriginFacts · Originfacts","Every place we&#x27;ve written about — continents, countries, and cities worth your time. Search, filter, and browse.","https://www.originfacts.com/destinations"
"","200","static","1592","64","142","1","https://www.originfacts.com/flight-search","Cheap Flight Search | Compare Airline Fares Online · Originfacts","Compare cheap flights from hundreds of airlines and travel sites, check flexible dates, browse popular routes, and plan hotels near your trip.","https://www.originfacts.com/flight-search"
"","200","static","1222","37","116","1","https://www.originfacts.com/flight-routes","Flight Routes Directory · Originfacts","Every route we track — searchable by origin, destination, IATA code, or country. Carriers, flight time, and booking.","https://www.originfacts.com/flight-routes"
"","200","static","554","81","124","1","https://www.originfacts.com/airlines","Airline Directory — Search Carriers & Verified Guides | OriginFacts · Originfacts","A searchable directory of airlines worldwide — IATA codes, hubs, and details for scheduled, low-cost, and regional carriers.","https://www.originfacts.com/airlines"
"","200","static","1169","42","105","1","https://www.originfacts.com/countries","Countries — travel directory · Originfacts","Browse countries with commercial air service — ISO codes, airport counts, cities, and regional groupings.","https://www.originfacts.com/countries"
"","200","static","17106","22","128","1","https://www.originfacts.com/sitemap","Site Map · Originfacts","A complete index of every page on Originfacts — articles, destinations, airlines, airports, countries, categories, and policies.","https://www.originfacts.com"
"","200","category","761","26","154","1","https://www.originfacts.com/category/destinations","Destinations · Originfacts","Field-tested guides to cities, regions, and out-of-the-way corners worth the flight — the kind of places that earn a second visit. Expect honest takes on…","https://www.originfacts.com/category/destinations"
"","200","category","889","21","152","1","https://www.originfacts.com/category/flights","Flights · Originfacts","Everything we know about paying less for a seat in the air — from the search habits that surface the cheapest fares to the routing tricks (mixed cabins…","https://www.originfacts.com/category/flights"
"","200","category","746","20","150","1","https://www.originfacts.com/category/hotels","Hotels · Originfacts","Honest, walked-the-halls reviews of hotels we actually slept in — boutique finds, design-led independents, the dependable city standbys, and the rare…","https://www.originfacts.com/category/hotels"
"long_description","200","category","765","25","166","1","https://www.originfacts.com/category/car-rentals","Car Rentals · Originfacts","Renting a car has more landmines than booking a flight: airport surcharges, fuel policies that punish honesty, &quot;free upgrades&quot; that aren&#x27;t, and damage…","https://www.originfacts.com/category/car-rentals"
"","200","category","757","25","147","1","https://www.originfacts.com/category/travel-tips","Travel Tips · Originfacts","The small moves that make travel dramatically easier — packing systems that actually compress, gear that justifies the carry-on space, the airport…","https://www.originfacts.com/category/travel-tips"
"long_title","200","article","1449","66","151","1","https://www.originfacts.com/articles/perfect-day-ayutthaya-avoid-crowds","How to Visit Ayutthaya Without the Crowds in One Day · Originfacts","Start early, skip the tour buses, and bike to the temples most visitors miss. A practical, crowd-free one-day guide to Ayutthaya from Bangkok by train.","https://www.originfacts.com/articles/perfect-day-ayutthaya-avoid-crowds"
"","200","article","1624","63","149","1","https://www.originfacts.com/articles/top-boutique-hotels-ayutthaya-2026","Best Boutique Hotels in Ayutthaya to Book in 2026 · Originfacts","Skip the day trip. These boutique hotels in Ayutthaya put you steps from ancient ruins at $40–$180/night. Our honest 2026 guide covers top picks and…","https://www.originfacts.com/articles/top-boutique-hotels-ayutthaya-2026"
"long_title","200","article","1580","68","157","1","https://www.originfacts.com/articles/ayutthaya-2026-insider-tips-first-timer","Ayutthaya 2026: 9 Insider Tips for First-Time Visitors · Originfacts","Planning your first trip to Ayutthaya in 2026? From the best train to take from Bangkok to the temples most visitors skip, here&#x27;s your no-fluff insider…","https://www.originfacts.com/articles/ayutthaya-2026-insider-tips-first-timer"
"","200","article","1681","64","151","1","https://www.originfacts.com/articles/best-ayutthaya-hotels-history-lovers-2026","7 Best Ayutthaya Hotels for History Lovers in 2026 · Originfacts","Stay inside the ancient capital instead of day-tripping. Our picks for the 7 best Ayutthaya hotels in 2026 cover every budget, from $30 guesthouses to…","https://www.originfacts.com/articles/best-ayutthaya-hotels-history-lovers-2026"
"long_title|h1_2","200","article","1469","67","153","2","https://www.originfacts.com/articles/cheap-flights-bangkok-2026-adventure-guide","Cheap Flights to Bangkok 2026: Score Deals Under $700 · Originfacts","Find cheap flights to Bangkok in 2026 with insider tactics. Learn the best booking windows, departure cities, and airlines for Southeast Asia adventures…","https://www.originfacts.com/articles/cheap-flights-bangkok-2026-adventure-guide"
"long_title","200","article","2098","66","155","1","https://www.originfacts.com/articles/best-hotels-bangkok-thailand-every-budget","Best Hotels in Bangkok for Every Budget (2025 Guide) · Originfacts","From $12 hostel dorms near BTS Silom to $500/night riverside luxury at the Mandarin Oriental, here are Bangkok&#x27;s best hotels for every budget in 2025.","https://www.originfacts.com/articles/best-hotels-bangkok-thailand-every-budget"
