iata,name,existingWords,generatedWords,written,about
ATL,Hartsfield-Jackson Atlanta International Airport,192,606,yes,"## Overview

Hartsfield-Jackson Atlanta International Airport (ATL / KATL) is located approximately 11 kilometers south of downtown Atlanta, Georgia, in the southeastern United States. It consistently ranks among the busiest airports in the world by total passenger movements and serves as the primary international gateway for the broader southeastern region. The airport traces its origins to the 1920s, when the site was developed from a former automobile racetrack into a municipal airfield. Decades of expansion have transformed it into a sprawling, highly connected hub that plays a central role in both domestic and international air travel across North America and beyond. Atlanta's position in the eastern time zone (UTC−5 in winter, UTC−4 during daylight saving time) and its geographic location in the mid-South make it a natural connecting point between the northeastern United States, Florida, the Gulf Coast, and transatlantic or transpacific routes.

## Airlines

Delta Air Lines maintains its global headquarters and principal hub at Hartsfield-Jackson, operating the largest share of flights at the airport across domestic and international routes. Delta's regional affiliate carriers supplement mainline service to smaller markets throughout the United States. Southwest Airlines operates a substantial presence here, providing point-to-point domestic connectivity to a wide range of cities. Several major international carriers serve the airport's dedicated international terminal, offering nonstop and connecting service to destinations in Europe, Latin America, the Caribbean, Africa, the Middle East, and Asia. The breadth of airline representation reflects Atlanta's role as one of the most strategically important connecting hubs in the global network.

## Terminals and transfers

The airport is organized around two primary terminal complexes. The Domestic Terminal handles the majority of domestic departures and arrivals, while the Maynard H. Jackson Jr. International Terminal manages international arrivals and departures on the eastern side of the campus. Seven concourses — labeled T, A, B, C, D, E, and F — extend from these terminals and are connected by an underground automated people mover that runs continuously. Concourse F is the primary international concourse. Passengers connecting between domestic and international flights should allow adequate time to navigate between concourses, clear customs and immigration if arriving internationally, and re-clear security if required. Transfer times can vary depending on concourse assignments and time of day.

## Ground transport and trip planning

Atlanta's MARTA rail system provides a direct link between the airport and central Atlanta, with the Airport station located within the domestic terminal complex. Trains run regularly and connect to downtown Atlanta, Midtown, and Buckhead, making rail a practical option for travelers heading to central city destinations. Ride-hailing services, taxis, and hotel shuttles operate from designated ground transportation areas outside the terminal. Interstate highways serving the airport include I-85 and I-285, giving drivers access to the broader Atlanta metropolitan area and surrounding regions. Travelers arriving from or departing to other parts of Georgia or neighboring states such as Alabama, Tennessee, and the Carolinas may find Atlanta a convenient hub given its regional road and air connectivity.

## Practical planning notes

Hartsfield-Jackson operates around the clock with no overnight curfew, supported by five parallel east-west runways that allow simultaneous operations. The airport's scale means that walking distances between gates can be considerable, and the people mover is generally the most efficient way to move between concourses. Passengers with tight connections are advised to check concourse assignments in advance. The airport is subject to the busy travel patterns typical of a major hub, so arriving with sufficient time before departure is advisable, particularly during peak travel periods such as holidays and summer months. Facilities including dining, retail, and passenger services are distributed across the concourses.

## Official sources

https://www.atl.com
https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport
http://www.wikidata.org/entity/Q214861"
IAH,George Bush Intercontinental Airport,185,590,yes,"## Overview

George Bush Intercontinental Airport, identified by the IATA code IAH and ICAO code KIAH, is located in Harris County, Texas, approximately 37 kilometers north of downtown Houston. It functions as the primary international gateway for the Houston metropolitan area and the broader Gulf Coast region of the United States. The airport opened in 1969 under the name Houston Intercontinental Airport, taking over long-haul responsibilities from William P. Hobby Airport, and was renamed in 1997 to honor former U.S. President George H. W. Bush, who maintained strong ties to Houston. Operating continuously around the clock, IAH is one of the busiest airports in the United States by total operations and serves as a critical node connecting the American interior to destinations across the Americas, Europe, the Middle East, and Asia.

## Airlines

United Airlines maintains one of its largest hub operations at IAH, and the airport's route network reflects that dominance. United's presence here supports extensive connectivity across Latin America, the Caribbean, and transatlantic and transpacific corridors. Beyond United, a range of international carriers from Europe, the Middle East, and Asia operate scheduled services into IAH, reflecting Houston's role as a global energy and commerce center. Several Mexican and Latin American carriers serve the airport regularly, consistent with the region's strong economic and cultural ties to those markets. Low-cost and regional operators also use IAH to connect Houston to secondary cities across North America, broadening the airport's reach beyond its primary long-haul function.

## Terminals and transfers

IAH operates five passenger terminals designated A through E. Terminal D is the principal facility for international arrivals and customs processing, while Terminals B, C, and E primarily handle domestic and Latin American routes. Terminal A serves a mix of domestic and some international operations. The terminals are connected by an underground automated people mover and an elevated Skyway train system, allowing passengers to move between concourses without exiting the secure area in most cases. Travelers connecting between international and domestic flights should allow adequate time for customs clearance and re-screening, as processing times can vary depending on flight volumes and staffing. The airport's layout is spread across a substantial footprint, so familiarity with the terminal map before arrival is advisable.

## Ground transport and trip planning

IAH sits in the America/Chicago time zone, observing Central Standard Time and Central Daylight Time seasonally. The airport is accessible from downtown Houston via Interstate 45 North, a route that can experience significant congestion during peak commuting hours. Ground transport options from the airport generally include taxis, rideshare services, hotel shuttles, and rental car facilities. Public transit connections to central Houston are available, though travelers should verify current schedules and routes before relying on them for time-sensitive journeys. Given the airport's distance from the city center, planning ground transport in advance is particularly worthwhile for early morning or late evening arrivals.

## Practical planning notes

Because IAH handles a high volume of international traffic, passengers arriving on international flights should anticipate time for immigration and customs processing before collecting baggage or proceeding to ground transport. The airport operates 24 hours a day, which accommodates a wide range of departure and arrival windows, but overnight facilities and services may be more limited during off-peak hours. Travelers transiting through IAH on connecting itineraries should pay attention to whether their connection requires re-clearing security, particularly when moving between international and domestic terminals. Houston's climate is warm and humid for much of the year, which can affect outdoor waiting areas and curbside conditions.

## Official sources

https://www.fly2houston.com/iah
https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport
http://www.wikidata.org/entity/Q744748"
CUN,Cancun International Airport,183,597,yes,"## Overview

Cancun International Airport (IATA: CUN, ICAO: MMUN) is located approximately 16 kilometers southwest of central Cancun, in the state of Quintana Roo on Mexico's Caribbean coast. Positioned at the northern end of the Riviera Maya, it serves as the principal international gateway to one of the Western Hemisphere's most visited resort regions. The airport was developed in the early 1970s alongside Cancun itself, which was purpose-built as a tourism destination, and the two have grown together into a major leisure travel corridor. Operating around the clock, the airport consistently ranks among the busiest in Mexico by international passenger volume, drawing visitors from across North America, Europe, and Latin America.

## Airlines

Cancun is a focus city for several of Mexico's main carriers, with Aeroméxico, Viva Aerobus, and Volaris each maintaining meaningful operations here. The airport's international profile is notably broad for a leisure-oriented destination, attracting major carriers from the United States and Canada, as well as long-haul operators from Europe, particularly during peak winter and spring travel seasons. Charter and vacation-package flights make up a significant share of overall traffic, reflecting the airport's role as a holiday gateway rather than a traditional connecting hub. The carrier mix shifts seasonally, with additional frequencies typically appearing during northern hemisphere winter months when demand from cold-weather markets peaks.

## Terminals and transfers

The airport operates four passenger terminals arranged along a common landside access road. Terminal 4 is the largest and most recently developed, handling a substantial portion of international traffic. Terminal 3 also focuses on international service, while Terminal 2 accommodates a mix of domestic and international flights. Terminal 1 is generally used for charter operations. Passengers connecting between terminals should allow adequate time, as the terminals are separate structures and inter-terminal movement requires ground-level transit. Signage throughout the airport is available in both Spanish and English, which is practical given the high proportion of international leisure travelers passing through.

## Ground transport and trip planning

Cancun's hotel zone, known as the Zona Hotelera, stretches along a narrow barrier island northeast of the airport and is the primary destination for most arriving visitors. The drive between the airport and the hotel zone typically takes between 20 and 40 minutes depending on traffic and the specific hotel location. Authorized taxi and shuttle services operate from designated areas outside the arrivals halls, and pre-booked private transfers are widely available. Public bus options exist for budget-conscious travelers, though routes and stops may require some advance research. For travelers continuing south along the Riviera Maya toward destinations such as Playa del Carmen or Tulum, journey times extend further and private or shared shuttle services are commonly used. Car rental counters are available at the airport for those planning to explore the broader Yucatán Peninsula.

## Practical planning notes

Cancun operates on Eastern Standard Time year-round, as the state of Quintana Roo does not observe daylight saving time. This is worth noting for travelers arriving from regions that do shift clocks seasonally, as the time difference relative to home may change depending on the time of year. The airport handles very high volumes during peak holiday periods, including winter school breaks and spring travel seasons, so arriving with extra time before departure is advisable during those windows. Currency exchange and ATM facilities are available within the terminals. Mexico's entry requirements, including any applicable tourism fees or forms, should be confirmed with official sources before travel, as these can change.

## Official sources

For current operational information, terminal maps, and airline listings, consult the airport operator and reference sources directly:

https://www.asur.com.mx/
https://en.wikipedia.org/wiki/Canc%C3%BAn_International_Airport
http://www.wikidata.org/entity/Q641967"
LHR,London Heathrow Airport,50,606,yes,"## Overview

London Heathrow Airport (LHR / EGLL) sits roughly 15 miles west of central London, positioned at coordinates 51.47°N, 0.45°W in the Thames Valley. It is the United Kingdom's largest and busiest airport and consistently ranks among the most significant international hubs in the world by passenger volume. Operating across two parallel runways, Heathrow serves as the primary long-haul gateway for the United Kingdom, connecting Britain to destinations across North America, Asia, the Middle East, Europe, and beyond. Its geographic position in western London, combined with its scale and carrier diversity, makes it the default choice for travellers entering or departing the UK on intercontinental routes.

## Airlines

Heathrow hosts a broad mix of full-service carriers spanning multiple global alliances and independent operators. Among the airlines tracked on routes through this airport are Qantas, Singapore Airlines, American Airlines, Delta Air Lines, United Nigeria Airlines, Air India, Iberia, KLM Royal Dutch Airlines, Gulf Air, and Cyprus Airways. This carrier mix reflects Heathrow's role as a meeting point for oneworld, SkyTeam, and Star Alliance networks, as well as independent airlines. Routes tracked from Heathrow reach destinations including Bangkok Suvarnabhumi, Boston Logan, New York JFK, Los Angeles, San Francisco, Vancouver, Tokyo Narita, and Chicago O'Hare, covering destination countries such as Thailand, the United States, Canada, Japan, and Singapore. The presence of carriers from multiple continents means travellers can generally find competitive options on major long-haul corridors, though Heathrow's slot-constrained environment means capacity on any given route may be more limited than at some other large hubs.

## Terminals and transfers

Heathrow operates across four active terminals — Terminals 2, 3, 4, and 5 — each serving different airline groupings. Terminal 5 is dedicated primarily to British Airways and Iberia operations. Terminal 2 houses a number of Star Alliance carriers and other airlines. Terminals 3 and 4 serve a further mix of international carriers. Travellers connecting between terminals should allow sufficient time, as inter-terminal transfers require use of the airport's internal transit system and can take longer than expected during busy periods. Passengers are advised to confirm their departure terminal well in advance, as it is not always the same terminal used on arrival, particularly for those connecting between partner airlines.

## Ground transport and trip planning

Heathrow is well served by public transport links into central London. The Elizabeth line (Crossrail) provides a frequent rail connection to central London stations including Paddington, Bond Street, and Liverpool Street, with journey times to central London typically in the range of 25 to 40 minutes depending on the destination station. The Heathrow Express offers a faster, premium-priced non-stop service to Paddington. London Underground Piccadilly line services also connect the airport to central London, taking longer but stopping at a wider range of stations. Coach and taxi services are available, and road access via the M4 and M25 motorways serves those travelling by car. Travellers arriving from or departing to destinations in the United States, Canada, Japan, Thailand, or Singapore should factor in significant time zone differences when planning connections and ground transport, as Heathrow operates on Europe/London time (GMT or BST depending on the season).

## Practical planning notes

Heathrow is a large, complex airport and early arrival is generally advisable, particularly for long-haul departures. Security queue times can vary considerably by terminal, time of day, and season. The airport operates around the clock, though some services and facilities may have reduced availability during overnight hours. Travellers transiting through Heathrow between international flights should verify visa and transit requirements well in advance, as UK transit rules can apply even when not formally entering the country.

## Official sources

https://heathrow.com
https://en.wikipedia.org/wiki/Heathrow_Airport
http://www.wikidata.org/entity/Q8691"
AMS,Amsterdam Airport Schiphol,192,620,yes,"## Overview

Amsterdam Airport Schiphol sits approximately nine kilometers southwest of central Amsterdam, occupying reclaimed polder land in the municipality of Haarlemmermeer in the province of North Holland. The site lies several meters below sea level, a geographical quirk that reflects the broader Dutch tradition of land reclamation from water. Originally established as a military airfield in 1916, Schiphol has grown into one of the most significant aviation hubs in Europe, serving as the primary international gateway to the Netherlands and a major connecting point between long-haul intercontinental routes and the wider European network. Its position within the densely connected northwest European corridor makes it a natural choice for passengers routing between North America, Asia, the Middle East, and destinations across the continent.

## Airlines

Schiphol functions as the principal hub for KLM Royal Dutch Airlines, one of the oldest airlines in the world still operating under its original name. KLM and its regional partners operate an extensive network from the airport, covering short-haul European routes as well as long-haul services to destinations across Africa, Asia, the Americas, and beyond. Transavia, a leisure-oriented carrier affiliated with the KLM group, also maintains a significant presence at Schiphol. As a core node in the SkyTeam alliance, the airport sees considerable traffic from affiliated carriers coordinating connections through the hub. Most major European full-service airlines, a range of low-cost carriers, and numerous intercontinental operators from North America, the Middle East, and Asia maintain scheduled services here, reflecting the airport's broad commercial reach.

## Terminals and transfers

Schiphol operates from a single integrated terminal complex, a design that distinguishes it from many large European airports that rely on multiple separate buildings. The terminal is divided into departure halls that connect to a network of piers, allowing passengers to move between Schengen and non-Schengen areas without leaving the main structure. This layout is generally considered to simplify transfers, as connecting passengers typically do not need to change buildings. The airport handles a substantial volume of transfer traffic, and its configuration is intended to support relatively efficient connections between arriving and departing flights. Passengers should verify specific transfer requirements with their carrier, as Schengen status and visa conditions vary by nationality and route.

## Ground transport and trip planning

Schiphol has a dedicated railway station located directly beneath the terminal, providing direct rail connections to Amsterdam Centraal and to a range of other Dutch cities including Rotterdam, The Hague, and Utrecht. Train services generally run frequently throughout the day, making rail a practical option for reaching central Amsterdam and other urban destinations in the Netherlands. Intercity and international rail services also connect through the station, offering onward options toward Belgium and Germany. Taxi and ride-hailing services operate from designated areas outside the terminal, and various bus connections serve the surrounding region. Travelers planning onward journeys by car should be aware that Schiphol is accessible via the Dutch motorway network, though road congestion in the Amsterdam metropolitan area can be a factor depending on the time of day.

## Practical planning notes

Schiphol operates on a 24-hour basis, though night flights are subject to noise-related restrictions imposed by Dutch aviation authorities. The airport uses the Europe/Amsterdam time zone, which follows Central European Time and Central European Summer Time seasonally. Passengers traveling between Schengen and non-Schengen destinations should allow adequate time for passport control, as queues can vary considerably depending on the time of day and season. The airport is generally well signposted in both Dutch and English. Travelers with early departures or late arrivals may wish to consider accommodation options in the immediate airport vicinity, as several hotels are located within walking distance or a short shuttle ride of the terminal.

## Official sources

https://www.schiphol.nl/
https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol
http://www.wikidata.org/entity/Q9694"
IST,Istanbul New Airport,191,599,yes,"## Overview

Istanbul Airport (IATA: IST, ICAO: LTFM) sits in the Arnavutköy district on the European side of Istanbul, positioned roughly 35 kilometres northwest of the historic city centre near the Black Sea coastline. Opened in October 2018 and fully replacing the former Atatürk Airport for commercial passenger traffic by April 2019, it was designed from the outset to serve as one of the largest aviation facilities in the world. Its location in northwestern Turkey places it at a natural geographic crossroads between Europe, the Middle East, Central Asia, and Africa, a position that shapes the airport's role as a major intercontinental connecting hub rather than simply a point-to-point gateway.

## Airlines

Turkish Airlines is the dominant carrier at Istanbul Airport and uses it as its primary global hub, operating an exceptionally wide network spanning Europe, Asia, Africa, the Americas, and the Middle East. The airline's reach means Istanbul functions as a genuine transfer point for passengers connecting between continents, not merely between regional markets. AnadoluJet, the low-cost subsidiary of Turkish Airlines, also operates domestic and some regional services from the airport. Pegasus Airlines maintains a presence, primarily on domestic Turkish routes and select European destinations. Numerous international carriers serve Istanbul Airport as well, connecting it with major cities across Europe and beyond, though the breadth of any individual carrier's schedule may vary by season.

## Terminals and transfers

The airport operates a single large integrated terminal building that handles both domestic and international departures and arrivals under one roof, which simplifies the experience for connecting passengers who might otherwise need to move between separate structures. The terminal is organised into multiple piers and concourses extending from a central hub, with airside transit areas designed to accommodate the high volume of transfer traffic that characterises the airport's operation. Passengers connecting between international flights generally remain airside, though those connecting between international and domestic services should verify current procedures in advance, as requirements can differ. The airport operates around the clock without a night curfew, supporting early morning and late-night connections that are common on long-haul itineraries.

## Ground transport and trip planning

Istanbul Airport is located approximately 35 kilometres from the city centre, and the journey time by road can vary considerably depending on traffic conditions, which in Istanbul can be significant at peak hours. A metro rail connection links the airport to the broader Istanbul public transport network, offering a more predictable travel time than road-based options and reaching central districts of the city. Taxi and ride-hailing services are available from designated areas outside the arrivals level. Private transfer and shuttle services also operate on this corridor. Travellers with early departures or late arrivals should factor in potential road congestion when planning ground transport, and checking current metro operating hours in advance is advisable.

## Practical planning notes

Istanbul operates on Turkey Time, which corresponds to the Europe/Istanbul time zone, currently UTC+3 year-round without seasonal clock changes. This is worth noting for passengers arriving from European destinations that observe daylight saving time, as the offset between Istanbul and western European cities shifts across the year. The airport's scale means that walking distances between check-in areas, security, and gates can be considerable, and passengers are generally advised to allow extra time when transiting or when unfamiliar with the layout. Facilities within the terminal include a range of dining, retail, and passenger services, though specific offerings and locations are subject to change. Checking the official airport website before travel is the most reliable way to confirm current services, gate information, and any operational updates.

## Official sources

https://www.istairport.com
https://en.wikipedia.org/wiki/Istanbul_Airport
http://www.wikidata.org/entity/Q3661908"
MUC,Franz Josef Strauss Airport,188,595,yes,"## Overview

Franz Josef Strauss Airport sits in the Erdinger Moos, a flat moorland area roughly 28 kilometers northeast of central Munich in Bavaria, Germany. Opened in May 1992 as a replacement for the older and increasingly constrained Munich-Riem facility, the airport has grown into one of Germany's busiest international gateways and a significant hub for connecting traffic across Europe and beyond. Its position in southern Germany places it within reach of the Alpine region, making it a common entry point for travelers heading to Bavaria, Austria, and the broader German-speaking world. The airport carries the name of Franz Josef Strauss, the longtime Bavarian minister-president who was a driving force behind its development.

## Airlines

Lufthansa maintains its second-largest hub at Munich, operating an extensive network of short-haul European routes alongside long-haul services to destinations across North America, Asia, the Middle East, and Africa. Several Star Alliance member carriers coordinate schedules through the airport, reinforcing its role as a connecting point for intercontinental itineraries. Leisure-focused carriers including Condor and Discover Airlines also operate from Munich, serving holiday destinations particularly around the Mediterranean and further afield. A range of European and international airlines complement these operations, reflecting the airport's broad geographic reach. Travelers are advised to verify current route availability and carrier schedules directly with airlines or the airport, as networks change seasonally.

## Terminals and transfers

The airport is organized around two main passenger terminals. Terminal 1 accommodates a variety of European and international carriers across several connected modules, while Terminal 2 is jointly operated with Lufthansa and primarily serves Star Alliance traffic. Terminal 2 includes a satellite pier accessible via an underground automated people mover, providing additional gate capacity without requiring passengers to leave the secure area. The two terminals are connected by a central area known as the MAC, which contains retail, dining, and service facilities. Passengers connecting between flights should confirm whether their journey involves a terminal change, as this can affect transit time. Two parallel east-west runways support simultaneous operations, and a nighttime curfew limits scheduled movements during late-night and early-morning hours.

## Ground transport and trip planning

Munich Airport is connected to the city center by S-Bahn suburban rail, with two lines providing frequent service to Munich's central station and onward into the wider rail network. Journey times to the city center are typically around 40 minutes, though travelers should check current timetables. Long-distance rail connections are available via the city center rather than directly at the airport. Coach services link the airport to various Bavarian cities and towns, and a motorway network provides road access for those arriving by car or taxi. Rental car facilities are available on site. Given Munich's role as a gateway to the Alps and surrounding region, travelers continuing by road or rail to destinations in Bavaria or neighboring Austria should plan connections in advance, particularly during peak travel seasons.

## Practical planning notes

The airport operates under a nighttime curfew that restricts most scheduled flights during certain overnight hours, which can affect early-morning departures and late-arriving connections. Travelers on early flights should confirm check-in opening times with their carrier. Munich experiences cold winters and warm summers, and weather conditions in the Erdinger Moos can occasionally affect operations. The airport offers a range of facilities across both terminals, including dining, retail, and passenger services, though specific amenities and their locations are best confirmed through the airport's official resources before travel. Passengers with reduced mobility or specific assistance needs are encouraged to contact their airline and the airport in advance.

## Official sources

https://www.munich-airport.de/
https://en.wikipedia.org/wiki/Munich_Airport
http://www.wikidata.org/entity/Q131402"
BCN,Barcelona-El Prat Airport,184,548,yes,"## Overview

Barcelona-El Prat Josep Tarradellas Airport occupies a low-lying position in the Llobregat delta, roughly 12 kilometres southwest of central Barcelona on the Catalan coast. It is Spain's second-busiest airport by passenger volume and the primary international gateway to Catalonia, serving leisure travellers, business passengers, and cruise connections to the nearby Port of Barcelona. The site has a long aviation history, with activity recorded from the early twentieth century and commercial operations expanding steadily through successive decades of growth. Its coastal location means the airport sits close to the sea, and runway orientation reflects the geography of the delta and prevailing Mediterranean wind patterns.

## Airlines

Vueling, which is headquartered in Barcelona, maintains its principal base at El Prat and operates an extensive network of European and domestic routes from the airport. Ryanair and easyJet both run significant operations here, connecting Barcelona to a wide range of European cities. Iberia provides links to Madrid and to destinations in Latin America. Long-haul service is offered by a number of carriers including American Airlines, Delta, United, Emirates, Qatar Airways, and Singapore Airlines, among others. The mix of low-cost, regional, and full-service long-haul operators reflects Barcelona's dual role as a major leisure destination and a commercially important European city.

## Terminals and transfers

The airport operates two main passenger terminals. T1, which opened in 2009, is a large modern facility handling the majority of full-service and long-haul traffic. T2 is divided into piers and primarily serves low-cost and regional carriers. Passengers connecting between T1 and T2 should allow sufficient time, as the two terminals are not directly connected on foot and a shuttle bus service links them. Travellers should confirm which terminal their airline uses before arriving, as this affects both check-in location and ground transport choices. Facilities across both terminals include check-in halls, security screening, retail and food options, and passenger services.

## Ground transport and trip planning

Barcelona-El Prat is reasonably well connected to the city centre by public transport. The Aerobus express coach service runs between the airport and Plaça de Catalunya, with stops serving both terminals. The suburban rail network also connects the airport to Barcelona Sants and the broader metropolitan rail system, though the station serves T2 and passengers using T1 may need to use a connecting shuttle. Taxi services are available from designated ranks outside the arrivals areas. For those travelling onward to destinations along the Catalan coast or inland, the airport's position near major road corridors makes car hire a practical option. Journey times to central Barcelona vary depending on traffic and mode of transport.

## Practical planning notes

The airport operates around the clock, though night-time noise restrictions may affect the scheduling of certain flights. Passengers on early departures or late arrivals should verify transport options in advance, as some public services operate on reduced schedules during overnight hours. Security queue times can vary considerably during peak summer travel periods, when Barcelona attracts high visitor numbers. Arriving with adequate time before departure is advisable, particularly during July and August. The airport uses the Europe/Madrid time zone, which observes Central European Time in winter and Central European Summer Time during the warmer months. Travellers arriving from outside the Schengen Area should be aware of passport control requirements.

## Official sources

https://www.aena.es/es/josep-tarradellas-barcelona-el-prat.html
https://en.wikipedia.org/wiki/Josep_Tarradellas_Barcelona%E2%80%93El_Prat_Airport
http://www.wikidata.org/entity/Q56973"
LGW,London Gatwick Airport,194,592,yes,"## Overview

London Gatwick Airport, coded LGW and located in West Sussex approximately 45 kilometres south of central London, is the United Kingdom's second busiest airport and one of the most significant aviation hubs in Europe. Sitting at coordinates 51.16°N, 0.16°W, the airport has served commercial passengers since the 1930s and underwent major redevelopment in the late 1950s to establish the modern terminal infrastructure that underpins its operations today. Gatwick plays a complementary role to Heathrow, handling a broad mix of short-haul European routes and long-haul intercontinental services, and is particularly associated with leisure travel as well as point-to-point low-cost flying. Its position in the Europe/London time zone places it at the heart of transatlantic and European scheduling windows, making it a practical choice for travellers connecting between North America, the Caribbean, Africa, Asia and the wider European continent.

## Airlines

Gatwick is home to one of easyJet's largest bases anywhere in its network, with the carrier operating an extensive programme of European and short-haul routes from the airport. British Airways maintains both short-haul and long-haul services here, supplementing its primary Heathrow operation. TUI Airways uses Gatwick as a key departure point for leisure and package-holiday destinations. Wizz Air, Vueling and Ryanair contribute significant low-cost capacity, while Norse Atlantic Airways operates transatlantic services. International carriers including Emirates, WestJet and Cathay Pacific have been associated with long-haul routes at Gatwick, alongside various European flag carriers. The airline mix reflects the airport's dual identity as both a budget-travel hub and a genuine intercontinental gateway.

## Terminals and transfers

Gatwick operates two terminals: the South Terminal and the North Terminal. The South Terminal is the older of the two and handles a broad range of carriers and route types, while the North Terminal accommodates additional airlines including several of the airport's larger operators. The two terminals are connected by a dedicated automated transit system that runs continuously, keeping transfer times between buildings manageable. Passengers should confirm which terminal their airline uses before travel, as the two buildings are separate facilities with their own check-in, security and departure areas. The airport operates on a single main runway, with a secondary standby runway available when required.

## Ground transport and trip planning

Gatwick benefits from strong rail connections into central London, with the Gatwick Express and other Southern and Thameslink services linking the airport to London Bridge, Blackfriars, City Thameslink, Farringdon and St Pancras International, as well as London Victoria. Journey times to central London by rail are generally under an hour. National Express and other coach operators provide road-based connections to London and destinations across the United Kingdom. Taxis and private hire vehicles are available from designated ranks. For travellers arriving by car, the airport is accessible via the M23 motorway, with on-site and off-site parking options available in various categories. Passengers are advised to check current transport timetables and book in advance during busy travel periods.

## Practical planning notes

Gatwick operates around the clock, though night-time noise restrictions apply and may affect the scheduling of certain flights. Passengers should allow sufficient time at the airport, particularly during peak holiday seasons when queues at check-in and security can be longer than usual. The airport's two-terminal layout means that passengers connecting between flights operated from different terminals should factor in transit time. Facilities across both terminals include retail, dining and currency exchange options, though the specific availability of services may vary. Travellers with accessibility requirements are encouraged to contact their airline or the airport in advance to arrange appropriate assistance.

## Official sources

https://www.gatwickairport.com/
https://en.wikipedia.org/wiki/Gatwick_Airport
http://www.wikidata.org/entity/Q8703"
ORY,Paris Orly Airport,177,597,yes,"## Overview

Paris Orly Airport (IATA: ORY, ICAO: LFPO) sits roughly 13 kilometres south of central Paris, positioned across the communes of Orly and Villeneuve-le-Roi within the Île-de-France region. It serves as the French capital's second major international airport, operating alongside Paris Charles de Gaulle to the north. Orly opened to commercial aviation in the early 1930s and for several decades held the distinction of being Paris's busiest airport before Charles de Gaulle assumed that role. Today it remains a significant hub for domestic French routes, medium-haul European services, and connections to French overseas territories and North Africa. Its southern location relative to the city centre makes it a practical entry point for travellers heading into the Left Bank, the southern arrondissements, or destinations along the A6 corridor.

## Airlines

Orly functions as an important operational base for Air France, which concentrates a substantial portion of its domestic and short-to-medium-haul European flying here. Transavia France, the low-cost subsidiary of Air France-KLM, treats Orly as its primary hub and operates a broad network of leisure-oriented routes from the airport. Vueling and easyJet maintain meaningful presences, contributing to the airport's European connectivity. Carriers serving North Africa, the French Caribbean, and the Indian Ocean islands represent a structurally important segment of Orly's traffic, reflecting France's historical and administrative ties to those regions. Prospective travellers should verify current route availability and carrier schedules directly with airlines or booking platforms, as networks change seasonally.

## Terminals and transfers

Following a significant restructuring completed in 2019, Orly consolidated its previously separate terminal buildings into a single unified terminal complex. This facility is divided into four connected halls, labelled Orly 1 through Orly 4, which together handle both domestic and international departures and arrivals. The integrated design allows passengers to move between halls without leaving the terminal envelope in most circumstances, though travellers connecting between flights should allow adequate time and consult signage or airport staff for specific transfer paths. The airport operates under a nighttime curfew that restricts flight movements during late-night and early-morning hours, which affects the scheduling of both arrivals and departures at the margins of the day.

## Ground transport and trip planning

Orly is connected to central Paris and the broader Île-de-France public transport network by several options. The Orlyval automated shuttle links the airport to the RER B line at Antony station, providing onward access to central Paris, the Left Bank, and connections toward Charles de Gaulle Airport. Bus services operated by regional transport authority Île-de-France Mobilités also serve the airport, connecting it to various RER and metro stations. Taxis and ride-hailing services are available from designated areas outside the terminal. Travellers driving to or from the airport can access it via the A6 and A10 motorways, which connect southward toward the Loire Valley and northward into Paris. Journey times to central Paris vary considerably depending on traffic conditions, particularly during peak commuting hours on weekdays.

## Practical planning notes

Orly's nighttime curfew means that very early morning or very late evening flights may not be available, and travellers with tight itineraries should account for this when planning connections. The airport's single-terminal layout, while generally efficient, can experience congestion during peak travel periods, particularly around French school holiday windows and summer months when leisure traffic to Mediterranean and overseas destinations intensifies. Passengers travelling to or from French overseas territories should be aware that these routes, while domestic in a legal sense, may involve longer flights and different check-in requirements. As with any major European airport, arriving with sufficient time before departure is advisable.

## Official sources

https://en.wikipedia.org/wiki/Orly_Airport
http://www.wikidata.org/entity/Q223416"
